ANGER /// 	     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.	
ANGER /// 	     angry	
ANGER /// 	  myspace peOplE  can get really angry if I don't answer them right away... JA!	
ANGER /// 	 (angry) mixed motions! but soo frustrated x( http://plurk.com/p/13s5mg	
ANGER /// 	 @isak is mad at me. #fail	
ANGER /// 	 a big angry spider was crawling in my blankeys  i flicked it to the floor and cant sleep now	
ANGER /// 	 did I miss the hov track. smh I see mad twits about the hov shit.	
ANGER /// 	 he's mad at me	
ANGER /// 	 i can't type! my mad typing skills are screwed! this damn papercut!	
ANGER /// 	 I dont want her to be mad at me. She is sooo sweet!	
ANGER /// 	 i had 107 followers when i went to bed now i have 102 what happen  it better not have been any of my VIP or maybe some non VIP got mad	
ANGER /// 	 i hate it! he's mad at me again! 	
ANGER /// 	 I hate watchin' this episode! Boulton the stations tough guy left frightened and angry - and in need of a HIV test after raid gone wrong!	
ANGER /// 	 i hope justice isnt mad at me	
ANGER /// 	 I maybe in for tonight on my last real weekend home  mad I can't turn off this location shit on ubber twitter	
ANGER /// 	 I think I made @sonicfoundation mad at me 	
ANGER /// 	 if i fuck this up, i am going to be so fucking angry.	
ANGER /// 	 I'm mad at myself, I haven't stopped smoking yet. Haven't actually bought any but I know too many people who smoke...	
ANGER /// 	 i'm so angry. I want to cry. I just an upset.	
ANGER /// 	- I'm so mad at my mom for not letting me and @amandabryant road trip to Iowa in July to see @VARSITYFC and @vfactory 	
ANGER /// 	- I'm so mad at my mom for not letting me and @amandambryant road trip to Iowa in July to see @VARSITYFC and @vfactory 	
ANGER /// 	 jive mad i aint get tew c da game its all gud doe had 2 make sat $$$ man...holetime i new da lakers was gon fry sum shit up..lls	
ANGER /// 	 my mommy makes me mad.	
ANGER /// 	 One little boy with ants in his pants and his shirt and his hair - Angry Ants - Lots	
ANGER /// 	 ugh i'm getting really mad at this thingy! it keeps lying to me!	
ANGER /// 	 uhoh.  jersey peeps are arguing.  so angry. 	
ANGER /// 	 up early for dentist appt, stupid mom I'd've had all next week. This is why scheduling for me made me mad.	
ANGER /// 	#kevinjonas uh oh. just made my sister mad. wont have a ride to summer school tomorrow  #kevinjonas	
ANGER /// 	#Kiwis the Mad Butcher has cheap pork sausages this week, and no Reeces  #sadeyes	
ANGER /// 	$535 winner - entry to FT 150 seat giveaway - so mad I have to miss it. 	
ANGER /// 	&amp; I'm mad it rained so randomly just now...oh umbrella how I miss u 	
ANGER /// 	&amp; now im mad i gotta go to sleep lol but i cant hold my eyes open so my twitter conversation will have 2b saved til 2marrow 	
ANGER /// 	&gt;! Argh, I'm so annoyed. I hate feeling like this, it makes the frustration worse grrrrrrrrrrrrr this is fucking shitting me! 	
ANGER /// 	&gt;_&lt; i got stuck in a car wash with this really angry man behind me.  no fun.	
ANGER /// 	&quot;Don&quot; 647-8x3-7x9x no showed and no cancelled. Also 289-2x2-9x4x extremely rude and threatening over phone. Make gft girls sad &amp; angry. 	
ANGER /// 	&quot;Here We Go Again&quot; kind of makes me mad. the lyrics are just too perfect for my current and seems to be everlasting situation. 	
ANGER /// 	&quot;How to act like a Rapper 101&quot; Wake up to pounds of choke and GUNs like T.I... :/ I got MAD water guns... Does that count? FAILED damn! 	
ANGER /// 	*sigh* really frustrated with job hunting. 	
